City_ID,City Name,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind Speed,Country
97,petropavlovsk-kamchatskiy,53.0452,158.6483,23.0,97,63,4.47,RU
98,thompson,55.7435,-97.8558,6.8,75,72,3.44,CA
99,xingyi,24.1877,102.817,69.93,1,24,16.2,CN
100,cherskiy,68.75,161.3,-6.16,97,88,13.31,RU
101,aswan,24.0934,32.907,65.03,0,39,7.58,EG
102,yellowknife,62.456,-114.3525,-9.99,20,76,4.61,CA
103,esperance,-33.8667,121.9,82.4,99,39,10.36,AU
104,port blair,11.6667,92.75,85.66,0,51,10.65,IN
105,rabo de peixe,37.8,-25.5833,59.0,75,94,13.8,PT
106,quatre cocos,-20.2078,57.7625,82.99,40,74,8.05,MU
107,muroto,33.2833,134.15,66.2,20,27,23.02,JP
108,cayenne,4.9333,-52.3333,80.01,20,83,3.44,GF
109,salalah,17.0151,54.0924,73.4,0,38,3.44,OM
110,oranjemund,-28.55,16.4333,61.74,0,77,3.29,NA
111,balta,47.9355,29.6198,25.99,86,92,7.74,UA
112,acapulco,16.8634,-99.8901,75.81,99,78,5.32,MX
113,khatanga,71.9667,102.5,-22.63,100,85,17.4,RU
114,khandyga,62.6667,135.6,13.51,100,92,10.07,RU
115,butaritari,3.0707,172.7902,82.17,100,72,9.57,KI
116,moron,-34.6534,-58.6198,70.0,0,82,3.44,AR
117,viedma,-40.8135,-62.9967,74.14,99,33,18.3,AR
118,port-cartier,50.0334,-66.8654,23.0,1,86,5.41,CA
119,cap malheureux,-19.9842,57.6142,82.99,35,72,5.99,MU
120,nizhniy tsasuchey,50.5167,115.1333,32.36,0,89,15.79,RU
121,nemuro,43.3236,145.575,35.6,75,87,3.44,JP
122,pokhara,28.2333,83.9833,78.55,0,17,4.83,NP
123,avarua,-21.2078,-159.775,78.8,90,89,4.61,CK
124,ostrovnoy,68.0531,39.5131,15.19,99,95,15.99,RU
125,cape town,-33.9258,18.4232,69.01,90,94,23.02,ZA
126,jalu,29.0331,21.5482,57.58,7,89,9.66,LY
127,plettenberg bay,-34.0527,23.3716,69.84,25,59,2.04,ZA
128,hecun,36.5333,114.1111,59.14,100,42,10.74,CN
129,amos,48.5669,-78.1162,39.2,90,52,12.66,CA
130,souillac,-20.5167,57.5167,82.4,40,74,8.05,MU
131,richards bay,-28.783,32.0377,75.65,25,70,4.32,ZA
132,zimapan,20.75,-99.35,52.95,20,92,4.27,MX
133,walvis bay,-22.9575,14.5053,53.6,0,87,8.05,NA
134,raudeberg,61.9875,5.1352,43.0,70,45,12.39,NO
135,raymond terrace,-32.75,151.75,81.0,75,69,14.97,AU
136,dicabisagan,17.0818,122.4157,82.0,18,60,10.16,PH
137,tiksi,71.6872,128.8694,-6.11,100,87,1.23,RU
138,aktash,50.3,87.7333,15.1,0,90,5.19,RU
139,dzhebariki-khaya,62.2167,135.8,15.1,100,91,11.1,RU
140,bredasdorp,-34.5322,20.0403,71.6,54,64,10.36,ZA
141,tuy hoa,13.0833,109.3,80.6,29,72,10.42,VN
142,portland,45.5234,-122.6762,46.4,75,76,5.75,US
143,kandiari,26.9156,68.5216,82.58,0,15,3.96,PK
144,aklavik,68.2191,-135.0107,12.2,75,67,4.61,CA
145,lavrentiya,65.5833,-171.0,-14.31,7,82,9.4,RU
146,kapit,2.0167,112.9333,91.58,99,52,1.1,MY
147,ancud,-41.8697,-73.8203,61.0,90,100,19.57,CL
148,tadine,-21.55,167.8833,78.93,54,61,8.1,NC
149,puerto escondido,15.85,-97.0667,78.8,1,78,4.45,MX
150,sandpoint,48.2766,-116.5533,30.2,1,86,4.61,US
151,verkhniy baskunchak,48.2256,46.7217,20.64,20,88,15.77,RU
152,gizo,-8.103,156.8419,84.29,44,68,2.39,SB
153,dunedin,-45.8742,170.5036,55.99,100,86,1.99,NZ
154,auburndale,28.0653,-81.7887,62.01,1,72,7.05,US
155,saldanha,-33.0117,17.9442,62.6,99,94,19.57,ZA
156,flinders,-34.5833,150.8552,75.0,82,74,4.0,AU
157,warrnambool,-38.3833,142.4833,70.0,2,67,12.01,AU
158,batagay-alyta,67.8006,130.4114,5.36,100,87,7.49,RU
159,carnarvon,-24.8667,113.6333,84.2,0,65,10.36,AU
160,longyearbyen,78.2186,15.6401,15.8,20,86,8.05,SJ
161,beringovskiy,63.05,179.3167,-14.3,0,79,3.2,RU
162,vanimo,-2.6741,141.3028,84.04,89,72,5.68,PG
163,yar-sale,66.8333,70.8333,-20.85,90,86,7.78,RU
164,egvekinot,66.3167,-179.1667,-30.93,3,86,1.05,RU
165,maryville,35.7565,-83.9705,50.0,40,40,3.44,US
166,matina,10.0761,-83.2895,73.45,94,81,4.23,CR
167,padang,-0.9492,100.3543,86.0,51,66,8.05,ID
168,sibolga,1.7427,98.7792,86.92,62,55,3.85,ID
169,majene,-3.5403,118.9707,80.78,100,77,4.72,ID
170,omama,36.4333,139.2833,52.0,2,25,23.0,JP
171,clyde river,70.4692,-68.5914,-4.0,90,84,17.27,CA
